id,paragraph,subject,item,tasktype,translation_type,len_sl_chr,len_tl_chr,len_sl_wrd,len_tl_wrd,edit_time,k_total,k_letter,k_digit,k_white,k_symbol,k_nav,k_erase,k_copy,k_cut,k_paste,k_do,np_300,lp_300,np_1000,lp_1000,ev_time_ms,num_annotations,Language
2br02b-t1-2-pe-1,63,T1,2br02b-t1-21,pe,pe,34,18,7,3,56.583,14,1,0,0,0,1,12,0,0,0,0,4,6765,2,5806,56583,2,CA
2br02b-t1-2-pe-2,64,T1,2br02b-t1-22,pe,pe,282,269,47,46,245.716,145,52,0,17,3,17,31,0,3,3,19,53,209289,25,196491,245716,2,CA
2br02b-t1-2-pe-3,65,T1,2br02b-t1-23,pe,pe,144,123,26,22,301.278,60,28,0,3,1,8,20,0,0,0,0,20,264727,10,259720,301278,3,CA
2br02b-t1-2-pe-4,66,T1,2br02b-t1-24,pe,pe,142,144,28,31,487.806,159,64,0,10,0,56,29,0,0,0,0,27,342831,13,334950,487806,4,CA
2br02b-t1-2-pe-5,67,T1,2br02b-t1-25,pe,pe,194,175,32,32,754.446,342,129,0,21,4,114,74,0,0,0,0,49,682433,26,670913,754446,5,CA
2br02b-t1-2-pe-6,68,T1,2br02b-t1-26,pe,pe,163,141,31,28,214.209,224,39,0,3,2,131,49,0,0,0,0,24,178712,14,174124,214209,3,CA
2br02b-t1-2-pe-7,69,T1,2br02b-t1-27,pe,pe,65,59,12,10,36.036,53,29,0,4,1,1,18,0,0,0,0,9,21628,4,19172,36036,3,CA
2br02b-t1-2-pe-8,70,T1,2br02b-t1-28,pe,pe,68,78,11,15,388.197,138,67,0,15,3,15,38,0,0,0,0,27,356967,8,346091,388197,5,CA
2br02b-t1-2-pe-9,71,T1,2br02b-t1-29,pe,pe,51,37,12,7,38.242,68,29,0,6,1,9,23,0,0,0,0,17,22491,6,17203,38242,5,CA
2br02b-t1-2-pe-10,72,T1,2br02b-t1-210,pe,pe,140,146,26,25,87.557,211,83,0,17,4,42,65,0,0,0,0,31,51641,7,38106,87557,3,CA
2br02b-t1-2-pe-11,73,T1,2br02b-t1-211,pe,pe,109,131,21,28,232.238,109,64,0,13,2,12,18,0,0,0,0,22,157931,10,151168,232238,6,CA
2br02b-t1-2-pe-12,74,T1,2br02b-t1-212,pe,pe,20,36,4,7,70.677,79,47,0,5,4,11,12,0,0,0,0,11,30525,5,27152,70677,6,CA
2br02b-t1-2-pe-13,75,T1,2br02b-t1-213,pe,pe,20,11,3,1,10.976,27,6,0,0,0,6,15,0,0,0,0,5,6356,2,4950,10976,2,CA
2br02b-t1-2-pe-14,76,T1,2br02b-t1-214,pe,pe,81,92,12,14,57.227,158,72,0,14,2,14,56,0,0,0,0,24,20423,5,9864,57227,3,CA
2br02b-t1-2-pe-15,77,T1,2br02b-t1-215,pe,pe,192,207,34,34,195.806,260,126,0,23,2,12,97,0,0,0,0,51,136762,23,121173,195806,4,CA
2br02b-t1-2-pe-16,78,T1,2br02b-t1-216,pe,pe,58,62,9,9,31.117,111,35,0,2,3,40,31,0,0,0,0,13,15508,3,11218,31117,4,CA
2br02b-t1-2-pe-17,79,T1,2br02b-t1-217,pe,pe,88,82,17,15,180.223,199,51,0,10,4,64,70,0,0,0,0,25,152798,9,145005,180223,3,CA
2br02b-t1-2-pe-18,80,T1,2br02b-t1-218,pe,pe,179,174,30,34,375.247,308,109,0,22,3,114,60,0,0,0,0,39,193317,17,181548,375247,4,CA
2br02b-t1-2-pe-19,81,T1,2br02b-t1-219,pe,pe,133,150,21,26,202.22,267,70,0,10,6,109,72,0,0,0,0,40,164698,21,154662,202220,4,CA
2br02b-t1-2-pe-20,82,T1,2br02b-t1-220,pe,pe,109,123,20,22,224.511,116,34,0,4,4,40,34,0,0,0,0,16,191238,5,185476,224511,3,CA
2br02b-t1-2-pe-21,83,T1,2br02b-t1-221,pe,pe,53,61,10,11,23.364,22,12,0,0,0,1,9,0,0,0,0,6,10874,1,7291,23364,2,CA
2br02b-t1-2-pe-22,84,T1,2br02b-t1-222,pe,pe,34,34,5,5,28.427,22,8,0,0,0,3,11,0,0,0,0,6,10557,2,8617,28427,3,CA
2br02b-t1-2-pe-23,85,T1,2br02b-t1-223,pe,pe,147,116,30,21,116.439,150,42,0,6,4,72,26,0,0,0,0,17,73095,10,68150,116439,4,CA
2br02b-t1-2-pe-24,86,T1,2br02b-t1-224,pe,pe,31,43,4,7,83.137,85,42,0,6,0,5,32,0,0,0,0,23,56977,5,47412,83137,4,CA
2br02b-t1-2-pe-25,87,T1,2br02b-t1-225,pe,pe,44,48,8,9,18.028,5,2,0,0,0,2,1,0,0,0,0,2,6137,1,5192,18028,3,CA
2br02b-t1-2-pe-26,88,T1,2br02b-t1-226,pe,pe,287,275,52,46,302.858,333,127,0,17,3,110,68,0,0,0,8,52,215073,23,199515,302858,4,CA
2br02b-t1-2-pe-27,89,T1,2br02b-t1-227,pe,pe,126,130,20,24,309.891,174,76,0,8,0,36,54,0,0,0,0,28,282368,14,274883,309891,4,CA
2br02b-t1-2-pe-28,90,T1,2br02b-t1-228,pe,pe,51,57,8,7,114.343,99,58,0,4,1,18,18,0,0,0,0,15,78865,6,74723,114343,5,CA
2br02b-t1-2-pe-29,91,T1,2br02b-t1-229,pe,pe,245,257,44,47,614.532,181,58,0,14,4,44,61,0,0,0,0,31,533013,12,523438,614532,5,CA
2br02b-t1-2-pe-30,92,T1,2br02b-t1-230,pe,pe,29,28,4,5,190.284,35,27,0,0,2,2,4,0,0,0,0,6,168999,5,168679,190284,3,CA
2br02b-t1-2-pe-31,93,T1,2br02b-t1-231,pe,pe,260,235,46,37,219.43,255,80,0,6,1,110,50,0,0,0,8,51,182319,17,163226,219430,3,CA
2br02b-t1-2-pe-32,94,T1,2br02b-t1-232,pe,pe,56,67,11,12,92.574,54,30,0,5,0,3,16,0,0,0,0,10,18197,1,13172,92574,4,CA
2br02b-t1-2-pe-33,95,T1,2br02b-t1-233,pe,pe,293,294,49,52,435.648,259,99,0,23,5,39,93,0,0,0,0,51,398095,23,380217,435648,3,CA
2br02b-t1-2-pe-34,96,T1,2br02b-t1-234,pe,pe,70,71,13,11,53.706,182,37,0,3,0,102,40,0,0,0,0,16,32030,7,27845,53706,4,CA
2br02b-t1-2-pe-35,97,T1,2br02b-t1-235,pe,pe,55,63,10,12,47.625,131,21,0,4,2,79,25,0,0,0,0,14,31992,10,29396,47625,3,CA
2br02b-t1-2-pe-36,98,T1,2br02b-t1-236,pe,pe,59,31,10,8,35.413,46,5,0,1,1,27,12,0,0,0,0,11,23925,6,21320,35413,3,CA
2br02b-t1-2-pe-37,99,T1,2br02b-t1-237,pe,pe,107,123,16,24,194.925,156,38,0,9,1,89,19,0,0,0,0,21,177458,5,168719,194925,3,CA
2br02b-t1-2-pe-38,100,T1,2br02b-t1-238,pe,pe,57,64,10,12,30.26,42,18,0,0,2,15,7,0,0,0,0,4,9546,1,8057,30260,3,CA
2br02b-t1-2-pe-39,101,T1,2br02b-t1-239,pe,pe,22,33,4,7,13.291,20,8,0,1,0,7,4,0,0,0,0,5,9335,3,8058,13291,2,CA
2br02b-t1-2-pe-40,102,T1,2br02b-t1-240,pe,pe,118,120,20,22,110.594,141,64,0,18,2,12,45,0,0,0,0,31,45148,9,32375,110594,4,CA
2br02b-t1-2-pe-41,103,T1,2br02b-t1-241,pe,pe,231,224,36,41,177.314,374,77,0,14,5,176,102,0,0,0,0,63,123736,25,101324,177314,4,CA
2br02b-t1-2-pe-42,104,T1,2br02b-t1-242,pe,pe,48,44,8,8,25.923,29,15,0,0,1,3,10,0,0,0,0,7,7088,1,4613,25923,3,CA
2br02b-t1-2-pe-43,105,T1,2br02b-t1-243,pe,pe,442,437,81,79,222.669,351,107,0,17,3,111,113,0,0,0,0,51,185146,18,167731,222669,2,CA
2br02b-t1-2-pe-44,106,T1,2br02b-t1-244,pe,pe,21,28,3,5,76.473,29,23,0,3,1,0,2,0,0,0,0,4,4427,1,2521,76473,2,CA
2br02b-t1-2-pe-45,107,T1,2br02b-t1-245,pe,pe,65,79,13,15,23.514,16,11,0,2,0,1,2,0,0,0,0,1,8504,1,8504,23514,2,CA
2br02b-t1-2-pe-46,108,T1,2br02b-t1-246,pe,pe,76,80,14,18,40.501,36,22,0,1,0,1,12,0,0,0,0,12,25570,8,23167,40501,2,CA
2br02b-t1-2-pe-47,109,T1,2br02b-t1-247,pe,pe,100,125,20,26,90.58,97,58,0,13,5,8,13,0,0,0,0,21,55801,7,47163,90580,5,CA
2br02b-t1-2-pe-48,110,T1,2br02b-t1-248,pe,pe,68,78,13,17,154.346,90,62,0,8,2,3,15,0,0,0,0,23,65052,12,59640,154346,6,CA
2br02b-t1-2-pe-49,111,T1,2br02b-t1-249,pe,pe,56,76,8,15,49.572,88,30,0,7,1,38,12,0,0,0,0,11,35821,5,32384,49572,3,CA
2br02b-t1-2-pe-50,112,T1,2br02b-t1-250,pe,pe,91,95,16,15,246.673,103,72,0,11,4,5,11,0,0,0,0,19,177635,12,174173,246673,5,CA
2br02b-t1-2-pe-51,113,T1,2br02b-t1-251,pe,pe,229,248,43,44,654.476,81,59,0,7,1,3,11,0,0,0,0,19,354822,8,348876,654476,6,CA
2br02b-t1-2-pe-52,114,T1,2br02b-t1-252,pe,pe,192,228,35,44,563.688,277,118,0,15,4,20,119,0,0,0,1,48,405687,11,384736,563688,6,CA
2br02b-t1-2-pe-53,115,T1,2br02b-t1-253,pe,pe,219,234,43,48,240.753,123,64,0,16,3,8,31,0,0,0,1,35,212773,20,205364,240753,3,CA
2br02b-t1-2-pe-54,116,T1,2br02b-t1-254,pe,pe,60,67,9,11,36.896,23,11,0,1,1,1,9,0,0,0,0,2,16310,1,15662,36896,3,CA
2br02b-t1-2-pe-55,117,T1,2br02b-t1-255,pe,pe,29,30,6,7,109.174,22,16,0,4,2,0,0,0,0,0,0,2,5209,1,4866,109174,4,CA
2br02b-t1-2-pe-56,118,T1,2br02b-t1-256,pe,pe,127,133,27,24,135.089,91,46,2,6,5,2,30,0,0,0,0,28,78690,12,70790,135089,5,CA
2br02b-t1-2-pe-57,119,T1,2br02b-t1-257,pe,pe,71,73,12,11,62.263,62,45,0,1,1,5,10,0,0,0,0,11,36179,4,32075,62263,5,CA
2br02b-t1-2-pe-58,120,T1,2br02b-t1-258,pe,pe,73,70,12,11,208.959,96,67,0,8,4,3,14,0,0,0,0,23,180775,8,173292,208959,4,CA
2br02b-t1-2-pe-59,121,T1,2br02b-t1-259,pe,pe,120,129,22,22,413.412,146,75,0,15,1,2,53,0,0,0,0,19,236244,9,231771,413412,5,CA
2br02b-t1-2-pe-60,122,T1,2br02b-t1-260,pe,pe,101,87,20,14,71.08,87,45,0,1,5,5,31,0,0,0,0,27,47696,6,34487,71080,4,CA
2br02b-t1-2-pe-61,123,T1,2br02b-t1-261,pe,pe,166,178,28,29,151.437,59,27,0,3,5,3,21,0,0,0,0,21,49883,11,44516,151437,4,CA
2br02b-t1-1-ht-1,1,T1,2br02b-t1-11,ht,ht,6,9,1,1,31.723,25,7,2,0,4,8,4,0,0,0,0,13,17787,8,15257,31723,5,CA
2br02b-t1-1-ht-2,2,T1,2br02b-t1-12,ht,ht,31,33,4,4,42.885,87,63,0,5,5,1,13,0,0,0,0,18,24296,5,17152,42885,2,CA
2br02b-t1-1-ht-3,3,T1,2br02b-t1-13,ht,ht,85,92,15,16,232.044,104,80,0,16,2,2,4,0,0,0,0,16,164110,3,157273,232044,2,CA
2br02b-t1-1-ht-4,4,T1,2br02b-t1-14,ht,ht,44,54,8,8,87.353,140,88,0,11,3,1,37,0,0,0,0,36,61303,10,48450,87353,2,CA
2br02b-t1-1-ht-5,5,T1,2br02b-t1-15,ht,ht,58,67,8,12,66.805,104,68,0,14,3,1,18,0,0,0,0,25,47037,9,39019,66805,1,CA
2br02b-t1-1-ht-6,6,T1,2br02b-t1-16,ht,ht,74,80,11,11,31.248,114,81,0,11,5,0,17,0,0,0,0,21,18133,4,9484,31248,1,CA
2br02b-t1-1-ht-7,7,T1,2br02b-t1-17,ht,ht,194,188,37,34,371.318,351,218,0,40,15,17,61,0,0,0,0,75,222804,20,189936,371318,4,CA
2br02b-t1-1-ht-8,8,T1,2br02b-t1-18,ht,ht,106,115,17,18,215.44,187,124,0,21,8,2,32,0,0,0,0,41,168977,17,157900,215440,3,CA
2br02b-t1-1-ht-9,9,T1,2br02b-t1-19,ht,ht,94,98,17,15,31.249,105,86,0,14,2,0,3,0,0,0,0,20,16334,3,7549,31249,2,CA
2br02b-t1-1-ht-10,10,T1,2br02b-t1-110,ht,ht,330,375,57,63,1206.329,807,535,0,90,18,21,143,0,0,0,0,168,1016417,65,960025,1206329,6,CA
2br02b-t1-1-ht-11,11,T1,2br02b-t1-111,ht,ht,107,109,20,15,165.395,185,124,0,20,6,2,33,0,0,0,0,33,70737,12,59143,165395,3,CA
2br02b-t1-1-ht-12,12,T1,2br02b-t1-112,ht,ht,269,294,51,49,306.339,652,373,1,77,17,26,158,0,0,0,0,106,220991,38,182875,306339,4,CA
2br02b-t1-1-ht-13,13,T1,2br02b-t1-113,ht,ht,169,198,28,30,314.828,340,215,0,38,10,29,48,0,0,0,0,59,189657,19,168623,314828,4,CA
2br02b-t1-1-ht-14,14,T1,2br02b-t1-114,ht,ht,138,173,23,26,245.674,296,204,0,35,7,3,47,0,0,0,0,52,164781,18,147220,245674,4,CA
2br02b-t1-1-ht-15,15,T1,2br02b-t1-115,ht,ht,191,190,32,37,465.265,378,220,0,48,20,17,71,0,1,1,0,95,316512,28,280086,465265,5,CA
2br02b-t1-1-ht-16,16,T1,2br02b-t1-116,ht,ht,83,87,14,14,374.503,145,101,0,17,1,8,18,0,0,0,0,34,311689,9,298426,374503,5,CA
2br02b-t1-1-ht-17,17,T1,2br02b-t1-117,ht,ht,35,39,7,7,49.469,50,34,0,6,5,0,5,0,0,0,0,10,40583,3,37092,49469,2,CA
2br02b-t1-1-ht-18,18,T1,2br02b-t1-118,ht,ht,22,21,5,5,12.132,24,17,0,4,1,1,1,0,0,0,0,7,6964,2,4006,12132,2,CA
2br02b-t1-1-ht-19,19,T1,2br02b-t1-119,ht,ht,29,40,7,8,73.23,73,48,0,12,1,0,12,0,0,0,0,14,57856,4,52173,73230,3,CA
2br02b-t1-1-ht-20,20,T1,2br02b-t1-120,ht,ht,30,32,5,4,143.112,269,177,0,34,8,3,47,0,0,0,0,55,158123,22,140363,249836,7,CA
2br02b-t1-1-ht-21,21,T1,2br02b-t1-121,ht,ht,28,23,6,6,20.475,56,35,0,8,4,1,8,0,0,0,0,8,6263,1,2691,20475,5,CA
2br02b-t1-1-ht-22,22,T1,2br02b-t1-122,ht,ht,36,33,8,7,77.32,150,102,0,16,3,4,25,0,0,0,0,26,66850,12,58961,104831,7,CA
2br02b-t1-1-ht-23,23,T1,2br02b-t1-123,ht,ht,29,25,6,3,21.983,96,63,0,4,4,1,24,0,0,0,0,12,24363,5,20542,29962,3,CA
2br02b-t1-1-ht-24,24,T1,2br02b-t1-124,ht,ht,34,42,7,9,119.382,132,72,0,13,3,33,11,0,0,0,0,25,52463,9,43116,119382,5,CA
2br02b-t1-1-ht-25,25,T1,2br02b-t1-125,ht,ht,140,136,26,27,207.804,218,134,0,36,9,18,19,0,0,0,2,50,93311,22,76141,207804,6,CA
2br02b-t1-1-ht-26,26,T1,2br02b-t1-126,ht,ht,135,122,25,26,162.434,137,95,0,26,9,2,5,0,0,0,0,32,84962,10,72962,162434,4,CA
2br02b-t1-1-ht-27,27,T1,2br02b-t1-127,ht,ht,44,51,8,10,134.244,210,93,0,21,9,67,20,0,0,0,0,22,124189,9,116985,149558,4,CA
2br02b-t1-1-ht-28,28,T1,2br02b-t1-128,ht,ht,172,186,30,34,100.991,248,169,0,39,8,2,30,0,0,0,0,40,49442,12,34095,100991,1,CA
2br02b-t1-1-ht-29,29,T1,2br02b-t1-129,ht,ht,286,307,53,51,273.422,521,335,0,62,17,20,87,0,0,0,0,100,186760,29,149730,273422,3,CA
2br02b-t1-1-ht-30,30,T1,2br02b-t1-130,ht,ht,86,83,16,14,47.13,115,79,0,15,4,2,15,0,0,0,0,18,22926,8,18009,47130,3,CA
2br02b-t1-1-ht-31,31,T1,2br02b-t1-131,ht,ht,143,171,27,32,458.661,424,243,0,57,9,40,73,0,0,0,2,69,330851,24,305978,458661,9,CA
2br02b-t1-1-ht-32,32,T1,2br02b-t1-132,ht,ht,61,60,11,10,76.926,129,76,0,17,6,13,17,0,0,0,0,27,33974,8,24134,76926,7,CA
2br02b-t1-1-ht-33,33,T1,2br02b-t1-133,ht,ht,162,199,30,37,740.782,537,311,0,65,15,38,108,0,0,0,0,97,605183,37,573665,740782,6,CA
2br02b-t1-1-ht-34,34,T1,2br02b-t1-134,ht,ht,57,47,10,8,1388.883,837,525,0,118,41,59,90,0,0,0,4,173,1314148,72,1259260,1428123,7,CA
2br02b-t1-1-ht-35,35,T1,2br02b-t1-135,ht,ht,36,43,7,8,34.037,55,34,0,8,6,2,5,0,0,0,0,15,16094,8,12189,34037,4,CA
2br02b-t1-1-ht-36,36,T1,2br02b-t1-136,ht,ht,255,241,44,46,511.441,515,283,0,68,15,84,65,0,0,0,0,95,393492,36,362911,511441,5,CA
2br02b-t1-1-ht-37,37,T1,2br02b-t1-137,ht,ht,30,25,9,4,19.589,28,14,2,4,6,1,1,0,0,0,0,13,9083,2,2891,19589,3,CA
2br02b-t1-1-ht-38,38,T1,2br02b-t1-138,ht,ht,281,282,32,39,1948.861,596,400,0,59,36,12,87,0,1,1,0,164,1736689,71,1687883,1948861,4,CA
2br02b-t1-1-ht-39,39,T1,2br02b-t1-139,ht,ht,113,108,21,20,54.713,140,101,0,19,7,4,9,0,0,0,0,32,25590,5,12479,54713,4,CA
2br02b-t1-1-ht-40,40,T1,2br02b-t1-140,ht,ht,117,120,23,22,367.365,189,128,0,26,10,5,20,0,0,0,0,41,228505,11,212091,367365,4,CA
2br02b-t1-1-ht-41,41,T1,2br02b-t1-141,ht,ht,159,167,26,30,183.071,306,180,0,39,19,22,46,0,0,0,0,60,103316,21,84250,183071,4,CA
2br02b-t1-1-ht-42,42,T1,2br02b-t1-142,ht,ht,171,193,32,36,536.599,445,269,0,60,9,60,47,0,0,0,0,84,455011,36,429038,536599,4,CA
2br02b-t1-1-ht-43,43,T1,2br02b-t1-143,ht,ht,33,48,6,9,88.341,69,48,0,8,2,1,9,1,0,0,0,11,12249,4,8480,88341,3,CA
2br02b-t1-1-ht-44,44,T1,2br02b-t1-144,ht,ht,103,122,16,21,76.082,196,124,0,24,7,9,32,0,0,0,0,32,24038,5,10202,76082,4,CA
2br02b-t1-1-ht-45,45,T1,2br02b-t1-145,ht,ht,213,260,36,46,893.015,604,324,0,68,20,92,99,1,0,0,0,102,751387,52,723860,893015,7,CA
2br02b-t1-1-ht-46,46,T1,2br02b-t1-146,ht,ht,147,145,26,25,472.709,222,147,0,31,5,2,37,0,0,0,0,40,423487,8,407129,472709,4,CA
2br02b-t1-1-ht-47,47,T1,2br02b-t1-147,ht,ht,236,262,39,48,596.206,462,279,0,56,10,55,62,0,0,0,0,69,512078,27,487806,596206,5,CA
2br02b-t1-1-ht-48,48,T1,2br02b-t1-148,ht,ht,62,63,12,13,32.821,106,59,0,16,6,7,18,0,0,0,0,16,17816,6,12731,32821,1,CA
2br02b-t1-1-ht-49,49,T1,2br02b-t1-149,ht,ht,100,103,20,20,111.997,134,93,0,21,9,3,8,0,0,0,0,24,93158,10,84837,111997,2,CA
2br02b-t1-1-ht-50,50,T1,2br02b-t1-150,ht,ht,103,102,19,21,169.559,269,130,0,31,12,55,41,0,0,0,0,39,64404,16,51946,169559,6,CA
2br02b-t1-1-ht-51,51,T1,2br02b-t1-151,ht,ht,31,47,6,11,421.542,95,53,0,13,4,3,21,0,0,0,1,23,393507,9,386255,421542,4,CA
2br02b-t1-1-ht-52,52,T1,2br02b-t1-152,ht,ht,17,5,3,1,4.858,5,3,0,0,2,0,0,0,0,0,0,3,2377,1,1413,4858,1,CA
2br02b-t1-1-ht-53,53,T1,2br02b-t1-153,ht,ht,19,17,4,2,14.423,26,14,0,2,4,3,3,0,0,0,0,5,4707,2,2869,14423,2,CA
2br02b-t1-1-ht-54,54,T1,2br02b-t1-154,ht,ht,84,80,14,18,19.205,80,58,0,17,5,0,0,0,0,0,0,12,9874,3,4751,19205,1,CA
2br02b-t1-1-ht-55,55,T1,2br02b-t1-155,ht,ht,288,308,51,59,631.467,652,369,0,86,27,61,109,0,0,0,0,109,545666,37,506994,631467,5,CA
2br02b-t1-1-ht-56,56,T1,2br02b-t1-156,ht,ht,110,104,20,21,294.061,157,105,0,22,12,12,6,0,0,0,0,26,219826,14,212912,294061,4,CA
2br02b-t1-1-ht-57,57,T1,2br02b-t1-157,ht,ht,189,235,36,45,289.567,400,241,0,57,19,17,65,0,0,0,1,76,222121,19,189899,289567,3,CA
2br02b-t1-1-ht-58,58,T1,2br02b-t1-158,ht,ht,121,158,21,30,406.76,451,278,0,50,15,23,85,0,0,0,0,89,309565,31,278032,406760,4,CA
2br02b-t1-1-ht-59,59,T1,2br02b-t1-159,ht,ht,395,394,76,76,1039.009,670,401,0,94,21,44,110,0,0,0,0,105,717395,38,681340,1039009,4,CA
2br02b-t1-1-ht-60,60,T1,2br02b-t1-160,ht,ht,95,123,16,21,214.7,204,131,0,29,10,4,30,0,0,0,0,31,57939,15,48604,214700,5,CA
2br02b-t1-1-ht-61,61,T1,2br02b-t1-161,ht,ht,27,23,5,4,41.733,60,32,0,5,4,1,18,0,0,0,0,19,25144,7,17256,41733,2,CA
2br02b-t1-1-ht-62,62,T1,2br02b-t1-162,ht,ht,59,65,10,15,74.719,74,46,1,14,8,1,4,0,0,0,0,22,21083,9,13703,74719,2,CA
2br02b-t2-1-pe-1,1,T2,2br02b-t2-11,pe,pe,6,5,1,1,73.052,11,4,1,0,0,6,0,0,0,0,0,5,9470,4,8611,73052,3,CA
2br02b-t2-1-pe-2,2,T2,2br02b-t2-12,pe,pe,31,27,4,4,84.893,25,21,0,2,1,0,1,0,0,0,0,5,67714,2,66289,84893,2,CA
2br02b-t2-1-pe-3,3,T2,2br02b-t2-13,pe,pe,85,97,15,16,128.788,51,45,0,2,0,4,0,0,0,0,0,5,119462,4,119060,128788,2,CA
2br02b-t2-1-pe-4,4,T2,2br02b-t2-14,pe,pe,44,54,8,8,34.684,51,25,0,4,1,3,18,0,0,0,0,9,18419,4,16173,34684,2,CA
2br02b-t2-1-pe-5,5,T2,2br02b-t2-15,pe,pe,58,78,8,14,46.968,36,22,0,3,0,8,3,0,0,0,0,6,35579,5,35056,46968,2,CA
2br02b-t2-1-pe-6,6,T2,2br02b-t2-16,pe,pe,74,80,11,11,79.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79408,2,CA
2br02b-t2-1-pe-7,7,T2,2br02b-t2-17,pe,pe,194,237,37,44,212.514,153,74,0,10,4,48,17,0,0,0,0,25,186366,17,182268,212514,3,CA
2br02b-t2-1-pe-8,8,T2,2br02b-t2-18,pe,pe,106,114,17,19,82.015,30,15,0,5,0,5,5,0,0,0,0,5,67051,4,66672,82015,2,CA
2br02b-t2-1-pe-9,9,T2,2br02b-t2-19,pe,pe,94,85,17,13,210.041,102,82,0,7,1,6,6,0,0,0,0,18,112737,13,109633,210041,2,CA
2br02b-t2-1-pe-10,10,T2,2br02b-t2-110,pe,pe,330,374,57,61,445.3,365,211,0,23,6,92,33,0,0,0,0,68,393046,38,375704,445300,3,CA
2br02b-t2-1-pe-11,11,T2,2br02b-t2-111,pe,pe,107,106,20,17,180.995,167,116,0,18,6,13,14,0,0,0,0,30,126269,19,120612,180995,3,CA
2br02b-t2-1-pe-12,12,T2,2br02b-t2-112,pe,pe,269,286,51,54,312.974,261,154,0,27,1,51,28,0,0,0,0,33,228504,19,221171,312974,3,CA
2br02b-t2-1-pe-13,13,T2,2br02b-t2-113,pe,pe,169,193,28,30,148.618,79,67,0,5,0,0,7,0,0,0,0,11,92796,7,90478,148618,3,CA
2br02b-t2-1-pe-14,14,T2,2br02b-t2-114,pe,pe,138,182,23,26,159.24,84,71,0,5,1,1,6,0,0,0,0,13,129267,7,126387,159240,2,CA
2br02b-t2-1-pe-15,15,T2,2br02b-t2-115,pe,pe,191,194,32,36,186.71,120,52,0,7,1,45,15,0,0,0,0,20,155523,16,153724,186710,3,CA
2br02b-t2-1-pe-16,16,T2,2br02b-t2-116,pe,pe,83,86,14,14,88.573,21,21,0,0,0,0,0,0,0,0,0,2,43310,2,43310,88573,2,CA
2br02b-t2-1-pe-17,17,T2,2br02b-t2-117,pe,pe,35,40,7,7,18.765,6,6,0,0,0,0,0,0,0,0,0,1,13817,1,13817,18765,2,CA
2br02b-t2-1-pe-18,18,T2,2br02b-t2-118,pe,pe,22,26,5,6,46.594,9,8,0,1,0,0,0,0,0,0,0,1,4886,1,4886,46594,3,CA
2br02b-t2-1-pe-19,19,T2,2br02b-t2-119,pe,pe,29,30,7,6,38.386,35,27,0,2,1,0,5,0,0,0,0,4,6516,2,5663,38386,4,CA
2br02b-t2-1-pe-20,20,T2,2br02b-t2-120,pe,pe,30,31,5,7,1023.734,179,125,0,22,6,10,16,0,0,0,0,28,735935,17,730491,1023734,5,CA
2br02b-t2-1-pe-21,21,T2,2br02b-t2-121,pe,pe,28,27,6,6,11.792,3,2,0,1,0,0,0,0,0,0,0,1,5182,1,5182,11792,2,CA
2br02b-t2-1-pe-22,22,T2,2br02b-t2-122,pe,pe,36,29,8,4,80.29,45,34,0,4,4,1,2,0,0,0,0,7,27791,2,25215,80290,4,CA
2br02b-t2-1-pe-23,23,T2,2br02b-t2-123,pe,pe,29,33,6,5,30.777,44,26,0,4,3,3,8,0,0,0,0,9,13193,3,9865,30777,4,CA
2br02b-t2-1-pe-24,24,T2,2br02b-t2-124,pe,pe,34,38,7,7,128.073,48,34,0,5,0,4,5,0,0,0,0,11,30914,9,30174,128073,5,CA
2br02b-t2-1-pe-25,25,T2,2br02b-t2-125,pe,pe,140,118,26,24,73.027,63,41,0,6,1,6,9,0,0,0,0,14,45934,10,43934,73027,4,CA
2br02b-t2-1-pe-26,26,T2,2br02b-t2-126,pe,pe,135,121,25,24,176.39,95,47,0,9,4,26,9,0,0,0,0,25,156390,11,148655,176390,3,CA
2br02b-t2-1-pe-27,27,T2,2br02b-t2-127,pe,pe,44,48,8,9,21.787,25,20,0,3,1,0,1,0,0,0,0,3,11508,2,11132,21787,3,CA
2br02b-t2-1-pe-28,28,T2,2br02b-t2-128,pe,pe,172,200,30,34,92.668,63,40,0,4,1,13,5,0,0,0,0,12,62398,7,59223,92668,3,CA
2br02b-t2-1-pe-29,29,T2,2br02b-t2-129,pe,pe,286,297,53,48,122.903,112,78,0,6,3,12,13,0,0,0,0,14,92679,9,90442,122903,3,CA
2br02b-t2-1-pe-30,30,T2,2br02b-t2-130,pe,pe,86,72,16,13,75.509,96,69,0,8,1,2,16,0,0,0,0,15,56590,11,54146,75509,2,CA
2br02b-t2-1-pe-31,31,T2,2br02b-t2-131,pe,pe,143,159,27,32,158.962,127,92,0,19,0,4,12,0,0,0,0,26,128455,14,122499,158962,2,CA
2br02b-t2-1-pe-32,32,T2,2br02b-t2-132,pe,pe,61,58,11,12,27.165,52,40,0,8,1,3,0,0,0,0,0,5,12882,4,11978,27165,2,CA
2br02b-t2-1-pe-33,33,T2,2br02b-t2-133,pe,pe,162,146,30,23,87.891,132,74,0,8,4,28,18,0,0,0,0,21,47618,9,41564,87891,2,CA
2br02b-t2-1-pe-34,34,T2,2br02b-t2-134,pe,pe,57,53,10,10,55.431,47,36,0,4,0,0,7,0,0,0,0,6,42591,4,41500,55431,2,CA
